City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,antsiranana,-12.2787,49.2917,22.59,76,25,8.17,MG,1723150595
218,port mathurin,-19.6833,63.4167,22.52,75,34,8.61,MU,1723150597
219,yung shue wan,22.2333,114.1167,29.86,86,18,7.05,HK,1723150598
220,kirovskiy,45.0917,133.5136,19.93,94,3,1.54,RU,1723150600
221,kuloy,61.0305,42.4925,13.11,95,80,1.63,RU,1723150601
222,vadso,70.0744,29.7487,13.09,67,0,1.54,NO,1723150602
223,usogorsk,63.4106,48.6872,11.66,72,6,1.23,RU,1723150603
224,svislach,53.6404,27.9199,17.91,68,100,0.59,BY,1723150605
225,acarau,-2.8856,-40.12,25.55,77,58,7.79,BR,1723150606
226,lompoc,34.6391,-120.4579,20.85,69,0,5.66,US,1723150607
227,santa maria,-29.6842,-53.8069,14.61,55,20,4.63,BR,1723150343
228,brownfield,33.1812,-102.2744,38.42,16,0,5.87,US,1723150471
229,ancud,-41.8697,-73.8203,8.07,74,100,1.57,CL,1723150611
230,sydney,-33.8679,151.2073,10.77,87,0,3.6,AU,1723150233
231,steyerberg,52.5667,9.0333,19.14,70,70,2.94,DE,1723150614
232,isafjordur,66.0755,-23.124,5.79,93,94,3.17,IS,1723150615
233,luanda,-8.8368,13.2343,19.86,88,17,2.63,AO,1723150617
234,glace bay,46.1969,-59.957,23.31,52,40,4.63,CA,1723150618
235,egilsstadir,65.2653,-14.3948,7.95,93,75,3.09,IS,1723150619
236,okhotsk,59.3833,143.3,16.05,72,7,3.15,RU,1723150621
237,luganville,-15.5333,167.1667,24.63,67,35,5.63,VU,1723150622
238,port hedland,-20.3167,118.5667,15.03,77,16,0.0,AU,1723150623
239,tangalle,6.024,80.7911,26.28,81,100,5.35,LK,1723150624
240,kavieng,-2.5744,150.7967,27.33,77,36,1.81,PG,1723150627
241,dudinka,69.4058,86.1778,5.73,81,0,6.69,RU,1723150628
242,natal,-5.795,-35.2094,26.36,69,40,6.69,BR,1723150610
243,sonbong,42.3422,130.3967,22.52,84,1,1.54,KP,1723150631
244,puerto ayora,-0.7393,-90.3518,20.31,92,88,2.68,EC,1723150632
245,funadhoo,6.15,73.2667,28.17,74,100,4.0,MV,1723150633
246,keflavik,64.0049,-22.5624,10.24,87,75,3.09,IS,1723150635
247,aykhal,66.0,111.5,9.22,91,100,4.36,RU,1723150636
248,jiazi,22.8779,116.067,28.11,85,100,6.04,CN,1723150637
249,invercargill,-46.4,168.35,3.9,98,79,0.45,NZ,1723150639
250,kazanskoye,55.6448,69.235,8.89,90,58,4.1,RU,1723150640
251,hilo,19.7297,-155.09,27.27,82,100,2.06,US,1723150642
252,nemuro,43.3236,145.575,17.96,100,100,2.99,JP,1723150644
253,carqueiranne,43.0953,6.073,28.61,69,4,4.48,FR,1723150645
254,najran,17.4924,44.1277,25.24,48,100,5.56,SA,1723150646
255,romanovka,51.7443,42.7527,16.21,84,90,2.38,RU,1723150648
256,haiku-pauwela,20.9219,-156.3051,29.54,69,40,10.29,US,1723150649
257,voskresenskoye,56.8381,45.4317,14.3,98,79,1.89,RU,1723150650
258,fort st. john,56.2499,-120.8529,22.94,46,20,4.12,CA,1723150651
259,coahuayana de hidalgo,18.7,-103.6583,32.65,64,83,3.27,MX,1723150653
260,sakaiminato,35.55,133.2333,24.99,100,75,1.54,JP,1723150654
261,buka,40.8108,69.1986,26.37,20,0,2.27,UZ,1723150655
262,codrington,-38.2667,141.9667,6.57,96,13,4.03,AU,1723150657
263,la passe,45.5549,-0.8967,17.91,78,2,3.57,FR,1723150658
264,mogocha,53.7333,119.7667,13.8,79,100,0.95,RU,1723150659
